paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.067188800,22.905700000,0.063654200,0.066884100,0.071028100,,26.647500000,22.905700000,34.590100000,,4000000,0,split,valid
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,3.689165533,0.433407000,5.838020000,5.162730000,0.066746600,,0.435735000,0.433407000,0.435742000,,4000000,4123914493911949435,split,valid
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,20,5.178954367,0.341552000,7.710120000,7.760260000,0.066483100,,0.343032000,0.341552000,0.343031000,,4000000,1695329620729630415,split,valid
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,25,5.454269600,0.359865000,7.305010000,8.991320000,0.066478800,,0.359865000,0.361166000,0.361161000,,4000000,14790085934426686932,split,valid
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,0,0.063053425,40.299400000,0.063142200,0.063184600,0.062945900,0.062941000,40.299400000,44.599100000,46.980300000,46.772100000,4000000,0,split,valid
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,15,3.815161275,0.469942000,7.526510000,7.603490000,0.067632600,0.063012500,0.472800000,0.472813000,0.472804000,0.469942000,4000000,5864040396461586289,split,valid
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,20,5.247018300,0.368376000,9.937550000,10.911500000,0.063044800,0.075978400,0.369186000,0.369182000,0.369176000,0.368376000,4000000,12746050015405391345,split,valid
10,Movie,movie,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,25,6.422210800,0.294387000,12.535600000,13.016200000,0.063251100,0.073792100,0.295478000,0.294387000,0.295478000,0.295474000,4000000,321653976019982748,split,valid
10,Project,project,WRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.067774567,34.635600000,0.068459700,0.072069600,0.062794400,,34.635600000,35.558400000,35.600200000,,4000000,17102691784853259046,split,valid
10,Project,project,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,3.253573667,0.315421000,8.412890000,0.665747000,0.682084000,,0.316702000,0.316706000,0.315421000,,4000000,18007052712975661688,split,valid
