paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.286034500,4.319480000,0.937408000,0.068995400,0.068908500,0.068826100,4.319480000,4.320980000,4.320040000,4.320120000,4000000,8758497637646361962,split,valid
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.344563475,3.717620000,1.171770000,0.068820800,0.068903900,0.068759200,3.717620000,3.718850000,3.718030000,3.718450000,4000000,7040698101298422853,split,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.257052333,11.007600000,0.240925000,0.272521000,0.257711000,,12.450900000,11.007600000,11.640100000,,4000000,0,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,5,0.303936000,9.682650000,0.309808000,0.300048000,0.301952000,,9.682650000,9.691500000,9.684930000,,4000000,8416376271932156425,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.421542667,6.585680000,0.403364000,0.455423000,0.405841000,,6.585680000,6.586950000,6.590520000,,4000000,10927256493412447835,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.464203000,6.295470000,0.476512000,0.456596000,0.459501000,,6.295470000,6.298290000,6.296510000,,4000000,6788650164340697165,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.517236667,5.549450000,0.503268000,0.507866000,0.540576000,,5.575090000,5.550980000,5.549450000,,4000000,16418705983343012418,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,50,0.759567667,3.872730000,0.743733000,0.774427000,0.760543000,,3.872730000,3.873720000,3.873530000,,4000000,17595402377539601848,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.259622750,13.383400000,0.246855000,0.245578000,0.247203000,0.298855000,16.202400000,16.286500000,16.179500000,13.383400000,4000000,0,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,5,0.329170000,11.539100000,0.346540000,0.322779000,0.324546000,0.322815000,11.541900000,11.539100000,11.540300000,11.558700000,4000000,5242018840745765213,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.457960250,8.163880000,0.448437000,0.489488000,0.449759000,0.444157000,8.163880000,8.171340000,8.169630000,8.169980000,4000000,4596641351759849486,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.522640500,7.250610000,0.519229000,0.551323000,0.512690000,0.507320000,7.250610000,7.254880000,7.253560000,7.254060000,4000000,3961800925314111584,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.581074250,6.787510000,0.589291000,0.573166000,0.578717000,0.583123000,6.787510000,6.792050000,6.789580000,6.789260000,4000000,2264696792684400549,combined,valid
11,YCSB,kvstore,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,50,0.869559000,4.429870000,0.902929000,0.869395000,0.851297000,0.854615000,4.429870000,4.431940000,4.430590000,4.430690000,4000000,15452657567376498271,combined,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.266776667,10.120200000,0.262671000,0.261343000,0.276316000,,10.127900000,10.120200000,10.192000000,,4000000,18003148058491299341,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,5,0.317582667,6.927260000,0.360722000,0.296439000,0.295587000,,6.927260000,6.930340000,6.928820000,,4000000,6577398278397598412,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.420972000,4.792940000,0.533535000,0.367204000,0.362177000,,4.792940000,4.795320000,4.793450000,,4000000,5276419287549414432,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.478893333,4.120720000,0.642466000,0.395658000,0.398556000,,4.120720000,4.120820000,4.122010000,,4000000,2752991449581996742,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.523656667,3.498960000,0.714616000,0.425430000,0.430924000,,3.498960000,3.500020000,3.499030000,,4000000,10582841289347709463,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,50,0.780658000,2.239240000,1.147530000,0.595703000,0.598741000,,2.239240000,2.239400000,2.239370000,,4000000,562955678669907035,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.280598250,12.076900000,0.283893000,0.281496000,0.279378000,0.277626000,12.076900000,12.715700000,12.334600000,12.870100000,4000000,18003148058491299341,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,5,0.350469250,7.985280000,0.433625000,0.322843000,0.323873000,0.321536000,7.985500000,7.985280000,7.985820000,7.992810000,4000000,6577398278397598412,split,valid
11,SmallBank,smallbank,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.481172750,4.922360000,0.695530000,0.411388000,0.410539000,0.407234000,4.922600000,4.922360000,4.922620000,4.925350000,4000000,5276419287549414432,split,valid
